name;item;amount;delivered;comment
"A";"pen";11;no;success deliver-two
"B";"table";3;yes;failure: item not present but delivery-two
"C";"phione";3;no;failure: item not present no delivery-two
"D";"pen";11;no;success deliver-two
"E";"table";3;yes;failure: item not present but delivery-two
"F";"phione";3;no;failure: item not present no delivery-two
"G";"pen";11;no;success deliver-two
"H";"table";3;yes;failure: item not present but delivery-two
"I";"phione";3;no;failure: item not present no delivery-two
"J";"pen";11;no;success deliver-two